sample,fastq_1,fastq_2
ERR10704942,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR107/042/ERR10704942/ERR10704942.fastq.gz,
ERR10704944,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR107/044/ERR10704944/ERR10704944.fastq.gz,
ERR10704947,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR107/047/ERR10704947/ERR10704947.fastq.gz,
ERR10704952,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR107/052/ERR10704952/ERR10704952.fastq.gz,
ERR10704953,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR107/053/ERR10704953/ERR10704953.fastq.gz,
ERR10704954,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR107/054/ERR10704954/ERR10704954.fastq.gz,
